Houses,name,Green Assets,name,Food,name,Education,name,Business,name,Emergency Services,name,Blue Assets,name
POINT (-88.0517698 42.0127798),Point 1,POINT (-88.0523729 42.0178504),Point 1,POINT (-88.0443774 42.0082261),Point 1,POINT (-87.9846361 42.0220627),Point 1,POINT (-88.0470838 42.008894),Point 1,POINT (-88.0192736 42.0031315),Point 1,POINT (-88.053203 42.0204021),Point 1
POINT (-88.0552342 42.0025916),Point 2,POINT (-88.0582952 42.0153634),Point 2,POINT (-88.0471158 42.0066057),Point 2,POINT (-87.9909018 42.0079059),Point 2,POINT (-88.0437793 42.0006983),Point 2,POINT (-88.0173853 42.0026053),Point 2,POINT (-88.0521301 42.0159066),Point 2
POINT (-88.0402997 42.0013479),Point 3,POINT (-88.0479097 42.0136275),Point 3,POINT (-88.0452275 42.0058722),Point 3,POINT (-87.9897431 42.0101699),Point 3,POINT (-88.0062384 42.0032583),Point 3,POINT (-88.0155185 42.0058581),Point 3,POINT (-88.0537179 41.993169),Point 3
POINT (-88.0403235 41.994083),Point 4,POINT (-88.0516433 42.0110447),Point 4,POINT (-88.030939 41.9959022),Point 4,POINT (-87.9975536 42.0117323),Point 4,POINT (-88.0050367 42.0060646),Point 4,POINT (-87.9854563 42.0065151),Point 4,POINT (-88.0361227 41.9988461),Point 4
POINT (-88.0511382 41.9949761),Point 5,POINT (-88.050313 42.0099925),Point 5,POINT (-88.0293082 41.9941799),Point 5,POINT (-87.9892281 41.9998376),Point 5,POINT (-88.0038351 42.0006432),Point 5,,,POINT (-88.0253938 41.9947318),Point 5
POINT (-88.0170634 41.9991542),Point 6,POINT (-88.0575227 42.009546),Point 6,POINT (-88.0016279 41.9936696),Point 6,POINT (-88.0529979 42.0101164),Point 6,POINT (-88.0436403 42.0021966),Point 6,,,POINT (-88.0244752 42.0088177),Point 6
POINT (-88.0079653 41.9952631),Point 7,POINT (-88.0552482 42.0039881),Point 7,POINT (-87.9857063 41.9937653),Point 7,POINT (-88.0399607 41.9983207),Point 7,POINT (-87.9762483 41.9852286),Point 7,,,POINT (-88.0111594 42.0102288),Point 35
POINT (-87.9986098 41.9993455),Point 8,POINT (-88.0494117 42.0054232),Point 8,POINT (-87.9799556 41.994754),Point 8,POINT (-88.0392181 42.0064273),Point 8,POINT (-87.9784596 41.9926008),Point 8,,,POINT (-88.0151076 41.9943151),Point 7
POINT (-87.9827311 42.0035552),Point 9,POINT (-88.042717 42.0097919),Point 9,POINT (-87.9584143 41.9979694),Point 9,,,POINT (-87.9706061 41.9870381),Point 9,,,POINT (-87.9889722 42.0221217),Point 8
POINT (-87.9838469 41.9962838),Point 10,POINT (-88.0410003 42.0058378),Point 10,POINT (-87.960088 42.003965),Point 10,,,POINT (-87.9695547 41.9928216),Point 10,,,,
POINT (-87.9804137 42.0175217),Point 11,POINT (-88.0501842 42.0016601),Point 11,POINT (-87.9585001 42.003965),Point 11,,,POINT (-87.9717863 41.9955008),Point 11,,,,
POINT (-87.9803279 42.02868),Point 12,POINT (-88.0520672 41.9974305),Point 12,POINT (-87.9603884 42.0140097),Point 12,,,POINT (-87.9776657 41.9946716),Point 12,,,,
POINT (-87.9915717 42.0124839),Point 13,POINT (-88.0518526 41.9944325),Point 13,POINT (-87.9593584 42.0239252),Point 13,,,POINT (-87.9715717 42.0000935),Point 13,,,,
POINT (-88.0155784 42.0134906),Point 14,POINT (-88.0446428 41.9949109),Point 14,POINT (-87.968559 42.0257208),Point 14,,,POINT (-87.9610575 41.9990729),Point 14,,,,
POINT (-87.9801109 42.0354928),Point 15,POINT (-88.0392784 41.9989295),Point 15,POINT (-87.9711339 42.0273148),Point 15,,,POINT (-87.9586113 42.0029318),Point 15,,,,
,,POINT (-88.0338282 42.0002371),Point 16,POINT (-87.9678724 42.0299288),Point 16,,,POINT (-87.9459513 41.9963939),Point 16,,,,
,,POINT (-88.0373043 41.9947833),Point 17,,,,,POINT (-87.9404152 41.9934595),Point 17,,,,
,,POINT (-88.0306524 41.9974624),Point 18,,,,,POINT (-87.9421747 41.9915777),Point 18,,,,
,,POINT (-88.0305237 42.0004285),Point 19,,,,,POINT (-87.9651901 42.0133226),Point 19,,,,
,,POINT (-88.0099589 42.0020169),Point 20,,,,,POINT (-87.9594672 42.020986),Point 20,,,,
,,POINT (-88.0076415 41.9971373),Point 21,,,,,POINT (-87.9854515 42.0276417),Point 21,,,,
,,POINT (-88.0075986 42.0077252),Point 22,,,,,POINT (-87.9684662 42.008753),Point 22,,,,
,,POINT (-87.9984576 42.0031331),Point 23,,,,,POINT (-87.9610847 42.0087849),Point 23,,,,
,,POINT (-87.9965693 42.0056524),Point 24,,,,,POINT (-87.9717277 42.012133),Point 24,,,,
,,POINT (-87.9971272 42.0000077),Point 25,,,,,POINT (-87.9693245 42.0150983),Point 25,,,,
,,POINT (-87.9876429 41.9983174),Point 26,,,,,POINT (-87.9589446 42.0190977),Point 26,,,,
,,POINT (-87.9885012 42.0075404),Point 27,,,,,POINT (-87.9465421 42.0078798),Point 27,,,,
,,POINT (-87.9903037 42.0148933),Point 28,,,,,POINT (-87.9489239 42.0060143),Point 28,,,,
,,POINT (-87.9844672 42.0096321),Point 29,,,,,POINT (-87.9555114 42.0045792),Point 29,,,,
,,POINT (-87.9803473 42.0123106),Point 30,,,,,POINT (-87.9484089 42.0038936),Point 30,,,,
,,POINT (-87.974896 42.0200584),Point 31,,,,,POINT (-87.945555 42.0043082),Point 31,,,,
,,POINT (-87.9818482 42.0249681),Point 32,,,,,POINT (-87.9434951 42.0032558),Point 32,,,,
,,POINT (-87.9932637 42.0169976),Point 33,,,,,POINT (-87.9396113 42.0040212),Point 33,,,,
,,POINT (-88.023519 42.0064911),Point 34,,,,,POINT (-87.9363926 42.005504),Point 34,,,,
,,,,,,,,POINT (-87.9680212 42.0272809),Point 35,,,,
,,,,,,,,POINT (-87.9606045 42.0127677),Point 36,,,,
,,,,,,,,POINT (-87.9537245 41.9995018),Point 38,,,,
,,,,,,,,POINT (-87.9523727 41.9966951),Point 39,,,,
,,,,,,,,POINT (-87.9451629 41.9991669),Point 40,,,,
,,,,,,,,POINT (-87.9418799 41.9873176),Point 41,,,,
,,,,,,,,POINT (-87.9535652 41.9911292),Point 42,,,,
,,,,,,,,POINT (-87.9536136 42.0068786),Point 43,,,,
