Houses,name,Education,name,Food,name,Emergency Services,name,Green Assets,name,Transportation,name,Business,name,Blue Assets,name
POINT (-96.7515129 32.9939181),Point 1,POINT (-96.7480086 32.9890041),Point 1,POINT (-96.7675461 32.9788235),Point 1,POINT (-96.6675786 32.9959594),Point 1,POINT (-96.7653097 32.9504107),Point 1,POINT (-96.7372285 32.9407635),Point 1,POINT (-96.7671432 32.9541149),Point 1,POINT (-96.6272483 32.9927897),Point 1
POINT (-96.7554611 32.9733989),Point 2,POINT (-96.7661618 32.9730563),Point 2,POINT (-96.7627396 32.9793995),Point 2,,,POINT (-96.7453005 32.9598365),Point 2,POINT (-96.7227446 32.9637027),Point 2,POINT (-96.766714 32.94079),Point 2,POINT (-96.6323552 33.0001684),Point 2
POINT (-96.759581 32.960149),Point 3,POINT (-96.6937207 32.9374063),Point 3,POINT (-96.7428269 32.9778875),Point 3,,,POINT (-96.6978361 32.9502578),Point 3,POINT (-96.7653846 32.9513294),Point 3,POINT (-96.7395057 32.943239),Point 3,POINT (-96.7541519 32.9414793),Point 3
POINT (-96.7257643 32.9780076),Point 4,POINT (-96.6507625 32.9914171),Point 4,POINT (-96.7677298 32.9614366),Point 4,,,POINT (-96.7321684 32.9897902),Point 4,POINT (-96.7297542 32.9483223),Point 4,POINT (-96.7203655 32.9373324),Point 4,,
POINT (-96.7451614 32.9529471),Point 5,POINT (-96.6171267 32.993149),Point 5,POINT (-96.7486325 32.9624448),Point 5,,,POINT (-96.701441 32.9928139),Point 5,POINT (-96.7559308 32.967578),Point 5,POINT (-96.7014827 32.9437433),Point 5,,
POINT (-96.7235321 32.9440159),Point 6,POINT (-96.6414597 32.9901974),Point 6,POINT (-96.7674371 32.9520726),Point 6,,,POINT (-96.6293432 32.9946856),Point 6,POINT (-96.7568001 32.9816462),Point 6,POINT (-96.6970195 32.9332984),Point 6,,
POINT (-96.736235 32.9728229),Point 7,POINT (-96.7623367 32.954403),Point 7,POINT (-96.7359372 32.9630914),Point 7,,,POINT (-96.7203702 32.9808958),Point 7,POINT (-96.7517484 32.9513474),Point 7,POINT (-96.6970195 32.9409341),Point 7,,
POINT (-96.7200988 32.9948539),Point 8,,,POINT (-96.7342635 32.9607509),Point 8,,,POINT (-96.719491 32.9515152),Point 8,POINT (-96.7153884 32.9482773),Point 8,POINT (-96.703886 32.9642693),Point 8,,
POINT (-96.7085975 32.9512185),Point 9,,,POINT (-96.7379146 32.9501317),Point 9,,,POINT (-96.7511513 32.9678513),Point 9,POINT (-96.7559483 32.9579381),Point 9,POINT (-96.7253437 32.9647014),Point 9,,
POINT (-96.6945211 32.9869641),Point 10,,,POINT (-96.7342239 32.9496276),Point 10,,,POINT (-96.7058664 32.9413154),Point 10,POINT (-96.7001479 32.9574388),Point 10,POINT (-96.7654108 32.9780555),Point 10,,
POINT (-96.6505758 32.9950271),Point 11,,,POINT (-96.7273685 32.9541279),Point 11,,,POINT (-96.6899359 32.9374682),Point 11,POINT (-96.6966289 32.9451948),Point 11,POINT (-96.7010675 33.0030004),Point 11,,
POINT (-96.6183035 32.9967548),Point 12,,,POINT (-96.7364665 32.9441884),Point 12,,,POINT (-96.7251712 32.9321615),Point 12,POINT (-96.6868442 32.9452668),Point 12,POINT (-96.6986643 32.9996172),Point 12,,
POINT (-96.7218153 32.9691077),Point 13,,,POINT (-96.7000743 32.9479339),Point 13,,,POINT (-96.7613489 32.9675975),Point 13,POINT (-96.6999444 32.9690685),Point 13,POINT (-96.6315018 32.988423),Point 13,,
POINT (-96.6924612 32.9580176),Point 14,,,POINT (-96.6928646 32.9446206),Point 14,,,,,POINT (-96.6997728 32.9792932),Point 14,POINT (-96.6138517 33.0003705),Point 14,,
,,,,POINT (-96.684024 32.9605375),Point 15,,,,,POINT (-96.7002769 32.9851401),Point 15,,,,
,,,,POINT (-96.7007313 32.9733083),Point 16,,,,,POINT (-96.6995613 32.9937792),Point 16,,,,
,,,,POINT (-96.7157517 32.9793566),Point 17,,,,,,,,,,
,,,,POINT (-96.7304461 33.0005714),Point 18,,,,,,,,,,
,,,,POINT (-96.7278283 32.992185),Point 19,,,,,,,,,,
,,,,POINT (-96.6843957 33.0017099),Point 20,,,,,,,,,,
